,ask,askVolume,average,baseVolume,bid,bidVolume,change,close,datetime,high,last,low,open,percentage,previousClose,quoteVolume,redd_sent,symbol,timestamp,twi_sent,vwap
0,60575.8,,,3181.36294929,60575.7,,,60575.8,2021-03-14T23:24:31.515Z,61639.2,60575.8,59258.8,61174.9,,,192272541.48887074,0.521746511627907,BTC/USD,1615764271515.0,0.19253979999999976,60437.15997
1,60479.3,,,3174.72992459,60470.4,,,60472.4,2021-03-14T23:29:31.235Z,61639.2,60472.4,59258.8,61174.9,,,191860898.55099887,0.5109720930232559,BTC/USD,1615764571235.0,0.15540919999999983,60433.77015
2,60391.2,,,3183.66219112,60391.1,,,60391.2,2021-03-14T23:34:31.722Z,61639.2,60391.2,59258.8,61174.9,,,192392247.5878565,0.5088511627906978,BTC/USD,1615764871722.0,0.1699927999999997,60431.11236
3,60122.9,,,3187.86404427,60117.8,,,60111.7,2021-03-14T23:39:31.413Z,61639.2,60111.7,59258.8,61174.9,,,192636400.08196148,0.5266162790697675,BTC/USD,1615765171413.0,0.15887019999999982,60428.04756
4,60011.8,,,3205.87197667,60008.7,,,60020.1,2021-03-14T23:44:31.704Z,61639.2,60020.1,59258.8,61174.9,,,193705798.79740557,0.5156348837209304,BTC/USD,1615765471704.0,0.13303959999999992,60422.18785
5,59629.6,,,3227.02679385,59602.8,,,59616.5,2021-03-14T23:49:31.738Z,61639.2,59616.5,59258.8,61174.9,,,194892911.93967924,0.5156348837209304,BTC/USD,1615765771738.0,0.13018339999999998,60393.9553
6,59400.1,,,3250.05027773,59400.0,,,59400.0,2021-03-14T23:54:32.030Z,61639.2,59400.0,59258.8,61174.9,,,196244028.76454803,0.5156348837209304,BTC/USD,1615766072030.0,0.1078101999999999,60381.84397
7,59141.3,,,3369.58164049,59109.1,,,59105.4,2021-03-14T23:59:32.242Z,61639.2,59105.4,59063.9,61174.9,,,203311747.52792948,0.4975833333333334,BTC/USD,1615766372242.0,0.14737659999999997,60337.38583
8,59043.1,,,3453.81286326,59043.0,,,59081.8,2021-03-15T00:04:31.897Z,61639.2,59081.8,58700.0,59001.0,,,208245536.13791162,0.4975833333333334,BTC/USD,1615766671897.0,0.13045599999999996,60294.38895
9,59300.2,,,3463.78650702,59300.1,,,59300.1,2021-03-15T00:09:32.227Z,61639.2,59300.1,58700.0,59001.0,,,208809716.7751994,0.4975833333333334,BTC/USD,1615766972227.0,0.1511383999999999,60283.65673
10,59375.1,,,3471.28263831,59375.0,,,59375.0,2021-03-15T00:14:32.718Z,61639.2,59375.0,58700.0,59001.0,,,209244912.1325674,0.4975833333333334,BTC/USD,1615767272718.0,0.11993719999999991,60278.84616
11,59607.5,,,3482.59701563,59601.5,,,59591.2,2021-03-15T00:19:33.130Z,61639.2,59591.2,58700.0,59001.0,,,209899791.8141474,0.4630863636363636,BTC/USD,1615767573130.0,0.13449159999999988,60271.05372
12,59681.4,,,3452.71921313,59672.8,,,59699.6,2021-03-15T00:24:33.702Z,61639.2,59699.6,58700.0,59001.0,,,208037019.58569974,0.454446511627907,BTC/USD,1615767873702.0,0.11825539999999986,60253.09524
13,59844.9,,,3497.48137796,59839.3,,,59835.0,2021-03-15T00:29:34.204Z,61601.7,59835.0,58700.0,59001.0,,,210688038.21113825,0.4313954545454546,BTC/USD,1615768174204.0,0.24724659999999943,60239.93138
14,59881.4,,,3503.83155218,59881.3,,,59874.4,2021-03-15T00:34:34.795Z,61572.6,59874.4,58700.0,59001.0,,,211056232.3842767,0.4313954545454546,BTC/USD,1615768474795.0,0.24468359999999933,60235.83875
15,59820.1,,,3500.74084816,59820.0,,,59847.7,2021-03-15T00:39:35.296Z,61500.0,59847.7,58700.0,59001.0,,,210848288.79768777,0.41007142857142864,BTC/USD,1615768775296.0,0.20460859999999959,60229.61937
16,59803.0,,,3496.91980746,59802.9,,,59803.0,2021-03-15T00:44:35.828Z,61500.0,59803.0,58700.0,59001.0,,,210602713.81148374,0.40116511627906976,BTC/USD,1615769075828.0,0.19194519999999943,60225.20544
17,59829.2,,,3482.48975275,59829.1,,,59836.1,2021-03-15T00:49:35.531Z,61500.0,59836.1,58700.0,59001.0,,,209710201.46256784,0.4087761904761904,BTC/USD,1615769375531.0,0.1850831999999996,60218.46907
18,59700.0,,,3471.95518996,59699.9,,,59680.8,2021-03-15T00:54:46.841Z,61500.0,59680.8,58700.0,59001.0,,,209056756.15795588,0.4212767441860465,BTC/USD,1615769686841.0,0.19849699999999976,60212.97647
19,59436.9,,,3509.36168517,59436.8,,,59427.9,2021-03-15T00:59:47.261Z,61500.0,59427.9,58700.0,59001.0,,,211272352.50151923,0.4212767441860465,BTC/USD,1615769987261.0,0.19278799999999974,60202.50161
20,59525.1,,,3505.29429246,59524.3,,,59524.4,2021-03-15T01:04:47.986Z,61500.0,59524.4,58700.0,59001.0,,,210987811.41811547,0.4212767441860465,BTC/USD,1615770287986.0,0.19308419999999968,60191.18334
21,59388.2,,,3502.57606314,59379.8,,,59379.8,2021-03-15T01:09:48.442Z,61500.0,59379.8,58700.0,59001.0,,,210791553.37440875,0.4424880952380952,BTC/USD,1615770588442.0,0.16806219999999963,60181.86317
22,59636.0,,,3483.23184617,59635.9,,,59581.2,2021-03-15T01:14:48.975Z,61500.0,59581.2,58700.0,59001.0,,,209607378.67758167,0.4426738095238096,BTC/USD,1615770888975.0,0.18956699999999957,60176.12032
23,59696.3,,,3494.20911394,59696.2,,,59681.3,2021-03-15T01:19:49.795Z,61500.0,59681.3,58700.0,59001.0,,,210246809.35646996,0.4426738095238096,BTC/USD,1615771189795.0,0.18234219999999957,60170.07068
