Timestamp,total-bitcoins
2010-08-14 16:16:03,3717150
2010-08-16 22:58:36,3739150
2010-08-20 05:54:46,3761200
2010-08-22 12:30:04,3783150
2010-08-24 14:38:50,3805150
2010-08-26 15:46:56,3827250
2010-08-29 04:31:30,3849650
2010-08-31 21:09:52,3871700
2010-09-03 16:24:03,3893800
2010-09-06 05:37:24,3915800
2010-09-09 01:02:54,3938150
2010-09-11 21:45:32,3960300
2010-09-14 07:13:47,3982250
2010-09-16 15:21:20,4004150
2010-09-18 15:14:32,4026350
2010-09-20 16:26:48,4048400
2010-09-23 04:49:30,4070400
2010-09-25 01:47:15,4092400
2010-09-27 04:37:30,4114350
2010-09-29 06:38:17,4136800
2010-10-02 03:30:53,4158750
2010-10-05 16:54:36,4180850
2010-10-08 11:27:50,4202850
2010-10-11 03:26:07,4224850
2010-10-13 20:42:55,4247050
2010-10-16 03:53:33,4269150
2010-10-17 18:43:27,4291350
2010-10-19 14:28:33,4313650
2010-10-21 09:08:13,4336050
2010-10-24 01:58:18,4358550
2010-10-26 04:56:49,4380700
2010-10-28 04:32:47,4402850
2010-10-30 04:05:32,4424950
2010-11-01 07:21:49,4447200
2010-11-03 16:32:12,4469250
2010-11-05 20:21:30,4491550
2010-11-07 18:39:35,4513650
2010-11-09 10:24:42,4535700
2010-11-11 13:07:20,4557650
2010-11-13 19:23:27,4579900
2010-11-15 19:07:07,4602450
2010-11-17 20:18:37,4624900
2010-11-20 03:37:34,4647150
2010-11-23 05:47:16,4669400
2010-11-25 20:40:49,4691450
2010-11-28 07:31:53,4713650
2010-11-30 12:23:49,4736050
2010-12-02 21:29:58,4758200
2010-12-05 00:16:29,4780550
2010-12-06 20:40:13,4802850
2010-12-08 18:18:59,4825100
2010-12-11 01:55:39,4847150
2010-12-13 18:00:14,4869450
2010-12-16 08:34:12,4892300
2010-12-19 01:53:45,4914600
2010-12-21 12:09:55,4936800
2010-12-24 09:31:53,4959250
2010-12-27 06:25:09,4981200
2010-12-29 22:07:09,5003550
2011-01-01 12:32:24,5025650
2011-01-04 05:03:02,5047800
2011-01-07 04:42:30,5069850
2011-01-09 20:28:55,5091850
2011-01-12 12:41:04,5114150
2011-01-14 23:00:43,5136300
2011-01-17 14:20:31,5158450
2011-01-20 07:53:24,5180800
2011-01-22 20:46:53,5203000
2011-01-25 10:46:17,5225000
2011-01-28 00:17:14,5247050
2011-01-30 18:35:20,5269100
2011-02-02 11:53:51,5291100
2011-02-05 01:18:46,5313500
2011-02-07 11:58:23,5335450
2011-02-09 21:00:36,5357550
2011-02-12 04:09:51,5379550
2011-02-14 11:34:09,5401550
2011-02-16 13:04:19,5423550
2011-02-18 10:03:00,5445750
2011-02-20 19:06:51,5467850
2011-02-22 23:28:43,5490000
2011-02-24 22:40:06,5512000
2011-02-26 17:51:09,5533900
2011-02-28 18:46:42,5555900
2011-03-03 13:15:45,5577950
2011-03-05 13:08:21,5599850
2011-03-07 03:16:17,5621850
2011-03-09 11:01:29,5643950
2011-03-12 21:16:30,5666050
2011-03-16 13:52:59,5688100
2011-03-20 04:19:23,5710200
2011-03-23 08:21:01,5732200
2011-03-26 03:30:44,5754400
2011-03-29 01:26:07,5776550
2011-03-31 15:08:36,5798450
2011-04-03 04:18:05,5821050
2011-04-05 14:40:19,5843900
2011-04-08 12:10:33,5866000
2011-04-11 04:17:00,5888100
2011-04-13 16:50:34,5910100
2011-04-16 12:03:32,5932150
2011-04-19 07:37:27,5954250
2011-04-22 03:09:59,5976150
2011-04-24 18:01:25,5998100
2011-04-27 01:15:33,6020100
2011-04-29 11:17:09,6042000
2011-05-01 18:27:52,6064050
2011-05-04 02:18:43,6086050
2011-05-06 04:52:23,6108050
2011-05-08 06:18:48,6130050
2011-05-10 05:53:56,6152250
2011-05-12 15:48:41,6174300
2011-05-14 15:55:10,6196250
2011-05-16 14:40:17,6218200
2011-05-18 07:03:32,6240150
2011-05-20 06:12:15,6262150
2011-05-22 05:28:00,6284200
2011-05-23 21:15:52,6306200
2011-05-25 08:37:46,6328200
2011-05-26 18:24:03,6350150
2011-05-29 09:04:30,6372150
2011-06-01 02:22:29,6394200
2011-06-03 08:01:41,6416150
2011-06-05 10:58:08,6438100
2011-06-07 13:24:44,6460050
2011-06-09 18:39:21,6482000
2011-06-11 16:47:52,6503900
2011-06-13 13:13:40,6525900
2011-06-15 07:33:01,6547800
2011-06-17 08:09:52,6569750
2011-06-19 11:52:21,6591650
2011-06-21 09:50:02,6613550
2011-06-23 03:47:27,6635750
2011-06-25 02:41:14,6657650
2011-06-27 22:26:00,6679550
2011-06-30 13:15:30,6701450
2011-07-03 00:34:23,6723450
2011-07-05 18:23:23,6745350
2011-07-08 18:34:16,6767250
2011-07-11 15:00:08,6789150
2011-07-14 10:21:35,6811100
2011-07-17 04:28:51,6833100
2011-07-19 21:56:05,6855050
2011-07-22 21:02:11,6876950
2011-07-25 14:41:46,6898900
2011-07-28 03:40:12,6920900
2011-07-30 23:48:19,6943000
2011-08-02 14:38:39,6965100
2011-08-05 17:50:29,6987350
2011-08-09 04:45:07,7009650
2011-08-12 08:36:41,7032300
2011-08-15 17:35:21,7054700
2011-08-18 22:12:27,7077150
2011-08-22 00:25:10,7100000
2011-08-25 00:30:56,7122600
2011-08-28 08:20:52,7144750
2011-08-31 11:51:20,7166850
2011-09-03 14:54:08,7189150
2011-09-06 17:24:10,7211400
2011-09-09 21:13:13,7234050
2011-09-13 06:00:41,7256500
2011-09-16 12:04:49,7279400
2011-09-19 18:20:26,7301850
2011-09-22 18:59:46,7324000
2011-09-26 05:27:21,7346500
2011-09-29 11:07:02,7368550
2011-10-02 22:14:36,7390900
2011-10-06 06:27:42,7413350
2011-10-09 20:34:33,7436100
2011-10-13 23:12:32,7458500
2011-10-17 09:04:31,7480800
2011-10-21 01:06:15,7503150
2011-10-24 22:38:05,7525250
2011-10-28 20:44:06,7547300
2011-11-01 11:43:22,7569400
2011-11-04 13:56:44,7591400
2011-11-07 17:09:15,7614200
2011-11-10 20:52:56,7637800
2011-11-14 05:15:35,7660700
2011-11-17 05:59:59,7682750
2011-11-20 14:29:29,7704900
2011-11-24 01:45:22,7727950
2011-11-27 19:04:32,7750150
2011-12-01 01:27:49,7773400
2011-12-04 03:38:23,7797800
